URL,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building,Zip code
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbv25785,2018 Antwerp,Apartment,apartment,265000.0,for sale,1.0,45.0,,,,1.0,,0.0,,,,,,2018.0
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbv25783,2610 Wilrijk,House,residence,799000.0,for sale,4.0,280.0,,,,1.0,,1.0,,270.0,2.0,,,2610.0
https://immovlan.be/en/detail/residence/for-sale/2930/brasschaat/rbv25781,2930 Brasschaat,House,residence,1095000.0,for sale,5.0,406.0,,,,1.0,,1.0,,2520.0,2.0,1.0,,2930.0
https://immovlan.be/en/detail/residence/for-sale/2580/beerzel/rbv25748,2580 Beerzel,House,residence,875000.0,for sale,4.0,290.0,,,,1.0,,1.0,,1130.0,4.0,1.0,,2580.0
https://immovlan.be/en/detail/residence/for-sale/2390/oostmalle/rbv25469,2390 Oostmalle,House,residence,519900.0,for sale,3.0,167.0,,0.0,,1.0,,1.0,500.0,952.0,4.0,,Normal,2390.0
https://immovlan.be/en/detail/apartment/for-sale/2520/ranst/rbv25426,2520 Ranst,Apartment,apartment,449000.0,for sale,3.0,112.0,,0.0,,1.0,,0.0,,,4.0,,Normal,2520.0
https://immovlan.be/en/detail/penthouse/for-sale/2520/ranst/rbv25425,2520 Ranst,Apartment,penthouse,449000.0,for sale,3.0,112.0,,0.0,,1.0,,0.0,,,4.0,,Normal,2520.0
https://immovlan.be/en/detail/apartment/for-sale/2870/breendonk/rbv25409,2870 Breendonk,Apartment,apartment,335000.0,for sale,2.0,97.0,,0.0,,1.0,,0.0,,,3.0,,Normal,2870.0
https://immovlan.be/en/detail/apartment/for-sale/2870/breendonk/rbv25408,2870 Breendonk,Apartment,apartment,290000.0,for sale,1.0,78.0,,0.0,,1.0,,0.0,,,2.0,,New,2870.0
https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbv25407,2830 Willebroek,Apartment,apartment,265000.0,for sale,2.0,75.0,,0.0,,1.0,,0.0,,,3.0,,New,2830.0
https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbv25406,2830 Willebroek,Apartment,apartment,240000.0,for sale,1.0,68.0,,0.0,,1.0,,1.0,,,2.0,,Normal,2830.0
https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbv25405,2830 Willebroek,Apartment,apartment,269000.0,for sale,2.0,88.0,,0.0,,1.0,,1.0,,,2.0,,Normal,2830.0
https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbv25404,2830 Willebroek,Apartment,apartment,260000.0,for sale,1.0,96.0,,0.0,,1.0,,0.0,,,2.0,,New,2830.0
https://immovlan.be/en/detail/residence/for-sale/2920/kalmthout/rbv25399,2920 Kalmthout,House,residence,585000.0,for sale,3.0,193.0,,0.0,,1.0,,1.0,,830.0,4.0,,To be renovated,2920.0
https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbv25373,2600 Berchem,House,residence,620000.0,for sale,4.0,190.0,,0.0,,0.0,,1.0,30.0,125.0,,,Normal,2600.0
https://immovlan.be/en/detail/residence/for-sale/2930/brasschaat/rbv23385,2930 Brasschaat,House,residence,460000.0,for sale,4.0,160.0,,0.0,,1.0,,1.0,110.0,222.0,2.0,,Normal,2930.0
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbv25343,2610 Wilrijk,Apartment,apartment,239000.0,for sale,1.0,62.0,Super equipped,0.0,,1.0,,0.0,,,2.0,0.0,New,2610.0
https://immovlan.be/en/detail/residence/for-sale/2280/grobbendonk/rbv25315,2280 Grobbendonk,House,residence,375000.0,for sale,4.0,126.0,Fully equipped,0.0,,1.0,,1.0,,,3.0,,New,2280.0
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbv25267,2060 Antwerp,House,residence,349000.0,for sale,4.0,131.0,,0.0,,0.0,,0.0,,53.0,2.0,,To be renovated,2060.0
https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbv25261,2200 Herentals,House,residence,619000.0,for sale,5.0,217.0,,0.0,,1.0,,0.0,,150.0,2.0,,Normal,2200.0
https://immovlan.be/en/detail/residence/for-sale/2340/beerse/rbv25259,2340 Beerse,House,residence,1100000.0,for sale,2.0,606.0,,0.0,,1.0,,1.0,,3180.0,4.0,,Excellent,2340.0
https://immovlan.be/en/detail/residence/for-sale/2380/ravels/rbv25255,2380 Ravels,House,residence,749000.0,for sale,6.0,437.0,,0.0,,1.0,,1.0,,4679.0,4.0,,,2380.0
https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbv25253,2300 Turnhout,House,residence,445000.0,for sale,3.0,140.0,,0.0,,1.0,,1.0,,400.0,2.0,,Normal,2300.0
https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbv25250,2440 Geel,Apartment,apartment,185000.0,for sale,2.0,99.0,,0.0,,1.0,,0.0,,,2.0,,Normal,2440.0
https://immovlan.be/en/detail/residence/for-sale/2500/lier/rbv25249,2500 Lier,House,residence,535000.0,for sale,4.0,152.0,,0.0,,1.0,,1.0,,462.0,,,Normal,2500.0
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbv25234,,House,residence,,for sale,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2970/schilde/rbv25217,2970 Schilde,House,residence,549000.0,for sale,2.0,149.0,,0.0,,1.0,,1.0,,758.0,4.0,,Normal,2970.0
https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbv25202,2800 Mechelen,House,residence,539000.0,for sale,2.0,190.0,Fully equipped,0.0,,1.0,,1.0,300.0,402.0,2.0,0.0,Normal,2800.0
https://immovlan.be/en/detail/apartment/for-sale/2850/boom/rbv25196,2850 Boom,Apartment,apartment,379000.0,for sale,2.0,126.0,,0.0,,1.0,,1.0,,,2.0,,,2850.0
https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbv25188,2640 Mortsel,House,residence,435000.0,for sale,3.0,111.0,Fully equipped,0.0,,1.0,,1.0,,,2.0,,Excellent,2640.0
https://immovlan.be/en/detail/duplex/for-sale/2200/herentals/rbv25187,2200 Herentals,Apartment,duplex,,for sale,2.0,95.0,,,,0.0,,0.0,,,,,Normal,2200.0
https://immovlan.be/en/detail/residence/for-sale/2850/boom/rbv25132,2850 Boom,House,residence,379000.0,for sale,5.0,156.0,,0.0,,1.0,,1.0,15.0,140.0,2.0,,,2850.0
https://immovlan.be/en/detail/penthouse/for-sale/2000/antwerp/rbv25129,2000 Antwerp,Apartment,penthouse,739000.0,for sale,3.0,195.0,,,,1.0,,0.0,,,,,,2000.0
https://immovlan.be/en/detail/residence/for-sale/2930/brasschaat/rbv24794,2930 Brasschaat,House,residence,439000.0,for sale,4.0,212.0,,0.0,,1.0,,1.0,,293.0,,,Normal,2930.0
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbv24740,2000 Antwerp,Apartment,apartment,295000.0,for sale,1.0,66.0,,,,0.0,,0.0,,,2.0,,Fully renovated,2000.0
https://immovlan.be/en/detail/apartment/for-sale/2580/beerzel/rbv24732,2580 Beerzel,Apartment,apartment,497500.0,for sale,2.0,143.0,,,,1.0,,1.0,,,4.0,,,2580.0
https://immovlan.be/en/detail/residence/for-sale/2580/beerzel/rbv24719,,House,residence,,for sale,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbv24718,,House,residence,,for sale,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbv24716,,House,residence,,for sale,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2580/beerzel/rbv24714,,House,residence,,for sale,,,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbv24687,,Apartment,apartment,,for sale,,,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbv24686,,Apartment,apartment,,for sale,,,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbv24685,,Apartment,apartment,,for sale,,,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbv24684,,Apartment,apartment,,for sale,,,,,,,,,,,,,,
