URL,Locality,Zip code,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
https://immovlan.be/en/detail/apartment/for-sale/5530/godinne/vbd59959,5530 Godinne,5530,Apartment,apartment,319000.0,for sale,2.0,95.0,Super equipped,,,1.0,,0.0,,,3.0,0.0,New
https://immovlan.be/en/detail/residence/for-sale/4102/ougree/vbd85209,4102 Ougrée,4102,House,residence,229000.0,for sale,3.0,150.0,Fully equipped,0.0,,1.0,,0.0,,,3.0,0.0,Normal
https://immovlan.be/en/detail/residence/for-sale/6280/gerpinnes/vbd87945,6280 Gerpinnes,6280,House,residence,119999.0,for sale,1.0,53.0,Partially equipped,0.0,,1.0,,0.0,,53.0,3.0,0.0,Normal
https://immovlan.be/en/detail/apartment/for-sale/3582/koersel/rbv33480,3582 Koersel,3582,Apartment,apartment,324000.0,for sale,3.0,110.0,,0.0,,1.0,,0.0,,,3.0,,New
https://immovlan.be/en/detail/residence/for-sale/8670/koksijde/rbu86760,8670 Koksijde,8670,House,residence,295000.0,for sale,2.0,88.0,,1.0,,1.0,,1.0,,,2.0,,
https://immovlan.be/en/detail/residence/for-sale/4163/tavier/rbv30631,4163 Tavier,4163,House,residence,249000.0,for sale,2.0,88.0,,0.0,,1.0,,1.0,,571.0,4.0,,Normal
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd67398,1400 Nivelles,1400,Apartment,apartment,130000.0,for sale,1.0,46.0,,,,0.0,,0.0,,,2.0,,
https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vba74361,1080 Sint-Jans-Molenbeek,1080,Apartment,apartment,225000.0,for sale,2.0,77.0,,0.0,,1.0,,0.0,,,2.0,,Excellent
https://immovlan.be/en/detail/residence/for-sale/6840/neufchateau/vbd77814,6840 Neufchâteau,6840,House,residence,229000.0,for sale,3.0,120.0,Super equipped,0.0,,1.0,,0.0,,64.0,2.0,0.0,Fully renovated
https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbd86852,1480 Tubize,1480,Apartment,apartment,235000.0,for sale,3.0,113.0,,0.0,,1.0,,0.0,,,2.0,,Normal
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd81373,1200 Sint-Lambrechts-Woluwe,1200,Apartment,apartment,925000.0,for sale,2.0,139.0,Super equipped,0.0,,1.0,,1.0,,,3.0,0.0,New
https://immovlan.be/en/detail/residence/for-sale/3071/erps-kwerps/rbv35160,3071 Erps-Kwerps,3071,House,residence,592500.0,for sale,4.0,190.0,,0.0,,1.0,,0.0,,264.0,3.0,,New
https://immovlan.be/en/detail/apartment/for-sale/7130/binche/vaz55139,7130 Binche,7130,Apartment,apartment,251500.0,for sale,2.0,104.0,Fully equipped,0.0,,1.0,,1.0,,,,,New
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd85210,1030 Schaarbeek,1030,Apartment,apartment,290000.0,for sale,1.0,72.0,Super equipped,0.0,,1.0,,1.0,25.0,,2.0,0.0,Excellent
https://immovlan.be/en/detail/ground-floor/for-sale/1190/vorst/vbd76935,1190 Vorst,1190,Apartment,ground-floor,210000.0,for sale,3.0,135.0,,0.0,,0.0,,0.0,,,,,To renovate
https://immovlan.be/en/detail/residence/for-sale/9400/nederhasselt/rbv27775,9400 Nederhasselt,9400,House,residence,464000.0,for sale,3.0,200.0,Super equipped,0.0,,1.0,,1.0,,850.0,4.0,0.0,New
https://immovlan.be/en/detail/residence/for-sale/8890/dadizele/rbv33783,8890 Dadizele,8890,House,residence,189000.0,for sale,3.0,152.0,,,,1.0,,1.0,,391.0,3.0,,
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbv31016,8000 Brugge,8000,House,residence,548800.0,for sale,3.0,150.0,Fully equipped,0.0,,1.0,,1.0,20.0,70.0,2.0,0.0,New
https://immovlan.be/en/detail/residence/for-sale/4610/beyne-heusay/vbd83004,4610 Beyne-Heusay,4610,House,residence,139000.0,for sale,1.0,75.0,Partially equipped,0.0,,1.0,,0.0,,60.0,2.0,,Normal
https://immovlan.be/en/detail/apartment/for-sale/8500/kortrijk/rak28291,8500 Kortrijk,8500,Apartment,apartment,695000.0,for sale,3.0,,,0.0,,1.0,,0.0,,,,,New
https://immovlan.be/en/detail/residence/for-sale/9971/lembeke/rbv05737,9971 Lembeke,9971,House,residence,239000.0,for sale,2.0,103.0,,,,1.0,,1.0,,520.0,3.0,,To be renovated
https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbv24654,8400 Oostende,8400,Apartment,apartment,299000.0,for sale,2.0,80.0,,0.0,,,,,,,4.0,,
https://immovlan.be/en/detail/residence/for-sale/3080/duisburg/vbd66209,3080 Duisburg,3080,House,residence,925000.0,for sale,4.0,295.0,,,1.0,1.0,,1.0,1252.0,1455.0,4.0,,Normal
https://immovlan.be/en/detail/villa/for-sale/1180/ukkel/rbv09041,1180 Ukkel,1180,House,villa,1295000.0,for sale,4.0,330.0,,,1.0,1.0,,1.0,,1200.0,,,To be renovated
https://immovlan.be/en/detail/mixed-building/for-sale/7500/tournai/rbv30920,7500 Tournai,7500,House,mixed-building,259500.0,for sale,,230.0,,,,0.0,,,,200.0,3.0,0.0,Normal
https://immovlan.be/en/detail/residence/for-sale/6280/gerpinnes/vbd87357,6280 Gerpinnes,6280,House,residence,497000.0,for sale,5.0,338.0,Super equipped,0.0,,1.0,,1.0,622.0,953.0,3.0,0.0,Normal
