URL,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building,Zip code
https://immovlan.be/en/detail/residence/for-sale/5590/ciney/vbd89935,5590 Ciney,Apartment,residence,220000,for sale,3.0,,,,,0.0,,1.0,,815.0,4.0,,,5590
https://immovlan.be/en/detail/residence/in-public-sale/5003/saint-marc/vbd89928,5003 Saint-Marc,Apartment,residence,65000,in public sale,3.0,,,,,1.0,,1.0,,305.0,4.0,,To be renovated,5003
https://immovlan.be/en/detail/residence/for-sale/5660/petigny/vbd89874,5660 Petigny,Apartment,residence,137000,for sale,2.0,50.0,,0.0,,0.0,,0.0,,1584.0,,,,5660
https://immovlan.be/en/detail/residence/for-sale/5060/tamines/vbd89817,5060 Tamines,Apartment,residence,840000,for sale,5.0,360.0,,0.0,,1.0,,1.0,,2325.0,4.0,1.0,Normal,5060
https://immovlan.be/en/detail/residence/for-sale/5560/houyet/vbd89755,5560 Houyet,Apartment,residence,235000,for sale,3.0,108.0,Fully equipped,,,1.0,,1.0,,280.0,3.0,,Excellent,5560
https://immovlan.be/en/detail/cottage/in-public-sale/5300/maizeret/vbd89726,5300 Maizeret,Apartment,cottage,430000,in public sale,3.0,,,,,0.0,,0.0,,,,,,5300
https://immovlan.be/en/detail/residence/for-sale/5600/neuville/vbd89717,5600 Neuville,Apartment,residence,189000,for sale,5.0,219.0,,0.0,,0.0,,1.0,,250.0,2.0,,Normal,5600
https://immovlan.be/en/detail/residence/for-sale/5580/rochefort/vbd89661,5580 Rochefort,Apartment,residence,239000,for sale,3.0,105.0,,0.0,,1.0,,1.0,,76.0,2.0,,Normal,5580
https://immovlan.be/en/detail/residence/for-sale/5575/gedinne/vbd89596,5575 Gedinne,Apartment,residence,650000,for sale,10.0,600.0,Super equipped,1.0,,1.0,,1.0,,523.0,3.0,0.0,Normal,5575
https://immovlan.be/en/detail/apartment/for-sale/5570/beauraing/vbd89469,5570 Beauraing,Apartment,apartment,67000,for sale,2.0,68.0,,,,0.0,,1.0,,,2.0,,To be renovated,5570
https://immovlan.be/en/detail/apartment/for-sale/5570/beauraing/vbd89468,5570 Beauraing,Apartment,apartment,63000,for sale,1.0,61.0,,,,0.0,,1.0,,,2.0,,To be renovated,5570
https://immovlan.be/en/detail/studio/for-sale/5570/beauraing/vbd89467,5570 Beauraing,Apartment,studio,96000,for sale,1.0,42.0,Fully equipped,0.0,,1.0,,,,,2.0,,To renovate,5570
https://immovlan.be/en/detail/bungalow/for-sale/5540/hastiere-lavaux/vbd89396,5540 Hastière-Lavaux,Apartment,bungalow,125000,for sale,3.0,74.0,,0.0,,1.0,,1.0,130.0,500.0,4.0,,Normal,5540
https://immovlan.be/en/detail/residence/for-sale/5524/gerin/vbd89382,5524 Gerin,Apartment,residence,99000,for sale,2.0,97.0,,0.0,,0.0,,1.0,320.0,320.0,4.0,,,5524
https://immovlan.be/en/detail/residence/for-sale/5555/bievre/vbd89374,5555 Bièvre,Apartment,residence,300000,for sale,4.0,174.0,,0.0,,1.0,,1.0,1200.0,1370.0,4.0,0.0,To be renovated,5555
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd89364,5000 Namur,Apartment,apartment,275000,for sale,2.0,105.0,,0.0,,1.0,,0.0,,,2.0,,Normal,5000
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd89324,5000 Namur,Apartment,apartment,226000,for sale,1.0,61.0,,,,1.0,,,,,2.0,,Excellent,5000
https://immovlan.be/en/detail/residence/for-sale/5540/hastiere/vbd89322,5540 Hastière,Apartment,residence,174000,for sale,3.0,190.0,,0.0,0.0,1.0,,1.0,703.0,,,,To be renovated,5540
https://immovlan.be/en/detail/residence/for-sale/5570/beauraing/vbd89291,5570 Beauraing,Apartment,residence,130000,for sale,3.0,164.0,Partially equipped,0.0,,1.0,,1.0,,95.0,2.0,0.0,To renovate,5570
https://immovlan.be/en/detail/residence/for-sale/5600/romedenne/vbd89269,5600 Romedenne,Apartment,residence,190000,for sale,3.0,,,,,1.0,,1.0,,465.0,,,,5600
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd89112,5000 Namur,Apartment,apartment,245000,for sale,2.0,86.0,,,,1.0,,,,,,,,5000
https://immovlan.be/en/detail/residence/for-sale/5060/arsimont/vbd89100,5060 Arsimont,Apartment,residence,175000,for sale,2.0,100.0,Fully equipped,0.0,,1.0,,1.0,250.0,400.0,2.0,,Fully renovated,5060
https://immovlan.be/en/detail/residence/for-sale/5060/auvelais/vbd89099,5060 Auvelais,Apartment,residence,249000,for sale,4.0,200.0,Fully equipped,0.0,,1.0,,1.0,225.0,340.0,2.0,,Normal,5060
https://immovlan.be/en/detail/residence/for-sale/5100/jambes/vbd89013,5100 Jambes,Apartment,residence,395000,for sale,3.0,148.0,,0.0,,1.0,,1.0,,,3.0,,,5100
https://immovlan.be/en/detail/villa/for-sale/5590/achene/vbd89012,5590 Achêne,Apartment,villa,425000,for sale,4.0,213.0,,0.0,,1.0,,1.0,961.0,,4.0,,,5590
https://immovlan.be/en/detail/apartment/for-sale/5640/mettet/vbd88967,5640 Mettet,Apartment,apartment,320000,for sale,2.0,,,0.0,,1.0,,0.0,,,4.0,,,5640
https://immovlan.be/en/detail/residence/for-sale/5640/mettet/vbd88966,5640 Mettet,Apartment,residence,320000,for sale,2.0,,,0.0,,1.0,,0.0,,172.0,4.0,,,5640
https://immovlan.be/en/detail/residence/for-sale/5060/tamines/vbd88964,5060 Tamines,Apartment,residence,350000,for sale,4.0,268.0,,0.0,,1.0,,1.0,,1321.0,3.0,,,5060
