URL,Zip code,City,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
https://immovlan.be/en/detail/residence/in-public-sale/1180/ukkel/vbd88834,1180,Ukkel,House,residence,395000,in public sale,4,117,,,,0,,1,,,,,
https://immovlan.be/en/detail/residence/for-sale/8760/meulebeke/rbv34326,8760,Meulebeke,House,residence,346264,for sale,3,130,,,,0,,1,,355,3,,
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd93288,1180,Ukkel,Apartment,apartment,250000,for sale,3,70,3,,,0,,0,,,,,
https://immovlan.be/en/detail/residence/for-sale/8550/zwevegem/rbv35897,8550,Zwevegem,House,residence,269000,for sale,3,143,,0,,1,30,1,250,415,2,,1
https://immovlan.be/en/detail/residence/for-sale/4680/oupeye/vbd93776,4680,Oupeye,House,residence,275000,for sale,4,179,2,0,,1,61,1,101,215,2,,2
https://immovlan.be/en/detail/penthouse/for-sale/1040/etterbeek/vwd16816,1040,Etterbeek,Apartment,penthouse,675000,for sale,3,143,,,,1,20,,,,2,,2
https://immovlan.be/en/detail/residence/for-sale/6800/libramont-chevigny/vbd81334,6800,Libramont-Chevigny,House,residence,,for sale,3,135,1,0,,1,10,1,140,238,3,0,0
https://immovlan.be/en/detail/residence/in-public-sale/1160/oudergem/vbd88753,1160,Oudergem,House,residence,343000,in public sale,3,,,,,0,,1,,,,,
https://immovlan.be/en/detail/penthouse/for-sale/1030/schaarbeek/rbt23376,1030,Schaarbeek,Apartment,penthouse,459000,for sale,3,110,2,0,,1,49,0,,,2,0,1
https://immovlan.be/en/detail/residence/for-sale/9940/evergem/rbv38742,9940,Evergem,House,residence,230000,for sale,3,,,,,1,,0,,208,2,,0
https://immovlan.be/en/detail/apartment/for-sale/9000/gent/rbv37211,9000,Gent,Apartment,apartment,430000,for sale,3,130,,0,,1,5,0,,,2,0,1
https://immovlan.be/en/detail/residence/for-sale/3870/heers/rbv29940,3870,Heers,House,residence,149000,for sale,3,100,,,,0,,1,,450,,,
https://immovlan.be/en/detail/apartment/for-sale/1210/sint-joost-ten-node/rbv01661,1210,Sint-Joost-ten-Node,Apartment,apartment,375000,for sale,3,124,,,,1,,1,,,2,,2
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd49154,1180,Ukkel,Apartment,apartment,790000,for sale,2,126,2,0,,1,26,1,,,2,0,2
https://immovlan.be/en/detail/residence/for-sale/8200/sint-andries/rbv28653,8200,Sint-Andries,House,residence,329000,for sale,3,104,,,,1,,0,,65,2,,
https://immovlan.be/en/detail/residence/for-sale/6997/soy/vbb99803,6997,Soy,House,residence,1500000,for sale,19,1300,2,0,,0,,0,,13581,4,,1
https://immovlan.be/en/detail/apartment/for-sale/7900/leuze-en-hainaut/vbd88518,7900,Leuze-en-Hainaut,Apartment,apartment,180000,for sale,1,78,,0,,0,,0,,,,,
https://immovlan.be/en/detail/residence/for-sale/3660/opglabbeek/rbu46891,3660,Opglabbeek,House,residence,390000,for sale,3,188,,,,0,,0,,,4,,
