,URL,Zip code,City,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
63,https://immovlan.be/en/detail/residence/for-sale/1755/kester/rbv17212,1755,Kester,House,residence,369000,for sale,3.0,174,2.0,0,0,1,1,255.0,677.0,3.0,1,2.0
64,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd71937,1000,Brussels,House,residence,599000,for sale,5.0,245,1.0,0,0,1,0,0.0,92.0,2.0,0,0.0
65,https://immovlan.be/en/detail/residence/for-sale/3950/bocholt/rbv22715,3950,Bocholt,House,residence,509000,for sale,3.0,200,2.0,0,0,1,1,255.0,1099.0,4.0,0,2.0
67,https://immovlan.be/en/detail/residence/for-sale/1790/affligem/rbv23771,1790,Affligem,House,residence,548500,for sale,4.0,244,2.0,0,0,1,1,255.0,272.0,3.0,0,4.0
68,https://immovlan.be/en/detail/studio/for-sale/1040/etterbeek/vbd86764,1040,Etterbeek,Apartment,studio,190000,for sale,3.0,42,3.0,0,0,0,0,0.0,649.0,2.0,0,1.0
69,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbv08144,1000,Brussels,Apartment,apartment,360000,for sale,2.0,90,2.0,0,0,1,0,0.0,649.0,3.0,0,0.0
70,https://immovlan.be/en/detail/residence/for-sale/8700/aarsele/rbu51620,8700,Aarsele,House,residence,384500,for sale,3.0,154,2.0,0,0,1,1,255.0,259.0,3.0,0,4.0
71,https://immovlan.be/en/detail/mixed-building/for-sale/5000/namur/vbd80919,5000,Namur,House,mixed-building,495000,for sale,7.0,318,2.0,0,0,0,0,0.0,191.0,2.0,0,2.0
72,https://immovlan.be/en/detail/residence/for-sale/4100/seraing/vbd78212,4100,Seraing,House,residence,250000,for sale,3.0,130,2.0,0,0,1,1,614.0,670.0,2.0,0,2.0
73,https://immovlan.be/en/detail/ground-floor/for-sale/1180/ukkel/vwd13311,1180,Ukkel,Apartment,ground-floor,632000,for sale,3.0,127,3.0,0,0,0,1,93.0,649.0,3.0,0,2.0
74,https://immovlan.be/en/detail/residence/for-sale/1785/merchtem/rbv25371,1785,Merchtem,House,residence,464000,for sale,3.0,163,2.0,0,0,1,1,255.0,262.0,3.0,0,4.0
75,https://immovlan.be/en/detail/mixed-building/for-sale/4300/waremme/vbd89239,4300,Waremme,House,mixed-building,375000,for sale,3.0,247,2.0,0,0,1,1,126.0,260.0,2.0,0,1.0
76,https://immovlan.be/en/detail/apartment/for-sale/4520/wanze/vbd83099,4520,Wanze,Apartment,apartment,260000,for sale,2.0,135,3.0,0,0,1,0,0.0,649.0,3.0,0,2.0
78,https://immovlan.be/en/detail/apartment/for-sale/9100/sint-niklaas/rbv24050,9100,Sint-Niklaas,Apartment,apartment,277500,for sale,2.0,89,2.0,0,0,1,0,0.0,649.0,2.0,0,2.0
80,https://immovlan.be/en/detail/apartment/for-sale/2550/kontich/rbv29936,2550,Kontich,Apartment,apartment,249900,for sale,3.0,85,2.0,0,0,0,1,255.0,649.0,2.0,0,2.0
81,https://immovlan.be/en/detail/residence/for-sale/2850/boom/rbv28662,2850,Boom,House,residence,349000,for sale,3.0,164,2.0,0,0,1,1,255.0,110.0,3.0,0,2.0
